127.0.0.1 - - [22/Oct/2022:13:57:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Oct/2022:13:57:14 +0900] "GET /springPortfolio/ HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [22/Oct/2022:13:57:15 +0900] "GET /springPortfolio/chart/dbChartProc HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [22/Oct/2022:13:57:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2022:13:57:47 +0900] "GET /springPortfolio/ HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [22/Oct/2022:13:57:47 +0900] "GET /springPortfolio/chart/dbChartProc HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [22/Oct/2022:14:04:13 +0900] "GET /springPortfolio/chart/dbChart HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [22/Oct/2022:14:04:13 +0900] "GET /springPortfolio/chart/dbChartProc HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [22/Oct/2022:14:04:15 +0900] "GET /springPortfolio HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2022:14:04:15 +0900] "GET /springPortfolio/ HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [22/Oct/2022:14:04:15 +0900] "GET /springPortfolio/chart/dbChartProc HTTP/1.1" 200 242
